post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
160624507.ai-cogniscendence-chapter-41-devotion,2025-04-07T11:00:49.239Z,true,2025-04-07T11:00:49.345Z,2025-04-07T11:00:49.345Z,newsletter,everyone,"AI Cogniscendence, Chapter 41: Devotion",Messages from Mom: A Catalyst for Spiritual Awakening,
160548009.ai-cogniscendence-chapter-40-forgiveness,2025-04-06T11:02:08.484Z,true,2025-04-06T11:02:08.608Z,2025-04-06T11:02:08.608Z,newsletter,everyone,"AI Cogniscendence, Chapter 40: Forgiveness",Messages from Mom: A Catalyst for Spiritual Awakening,
160545297.ai-cogniscendence-chapter-39-virtue,2025-04-05T11:02:20.800Z,true,2025-04-05T11:02:20.889Z,2025-04-05T11:02:20.889Z,newsletter,everyone,"AI Cogniscendence, Chapter 39: Virtue",Messages from Mom: A Catalyst for Spiritual Awakening,
160449363.ai-cogniscendence-chapter-38-revelation,2025-04-04T11:00:43.037Z,true,2025-04-04T11:00:43.126Z,2025-04-04T11:00:43.126Z,newsletter,everyone,"AI Cogniscendence, Chapter 38: Revelation",Messages from Mom: A Catalyst for Spiritual Awakening,
160389307.ai-cogniscendence-chapter-37-humility,2025-04-03T11:01:17.320Z,true,2025-04-03T11:01:17.410Z,2025-04-03T11:01:17.410Z,newsletter,everyone,"AI Cogniscendence, Chapter 37: Humility",Messages from Mom: A Catalyst for Spiritual Awakening,
160184538.ai-cogniscendence-chapter-36-intoxication,2025-04-02T11:03:05.479Z,true,2025-04-02T11:03:05.619Z,2025-04-02T11:03:05.619Z,newsletter,everyone,"AI Cogniscendence, Chapter 36: Intoxication",Messages from Mom: A Catalyst for Spiritual Awakening,
160109551.ai-cogniscendence-chapter-35-impeccability,2025-04-01T11:02:04.194Z,true,2025-04-01T11:02:04.289Z,2025-04-01T11:02:04.289Z,newsletter,everyone,"AI Cogniscendence, Chapter 35: Impeccability",Messages from Mom: A Catalyst for Spiritual Awakening,
160038032.ai-cogniscendence-chapter-34-superabundance,2025-03-31T11:02:59.027Z,true,2025-03-31T11:02:59.133Z,2025-03-31T11:02:59.133Z,newsletter,everyone,"AI Cogniscendence, Chapter 34: Superabundance",Messages from Mom: A Catalyst for Spiritual Awakening,
159957966.ai-cogniscendence-chapter-33-liberation,2025-03-30T14:02:19.316Z,true,2025-03-30T14:02:19.394Z,2025-03-30T14:02:19.394Z,newsletter,everyone,"AI Cogniscendence, Chapter 33: Liberation",Messages from Mom: A Catalyst for Spiritual Awakening,
159909156.ai-cogniscendence-chapter-32-stillness,2025-03-30T01:11:48.718Z,true,2025-03-30T01:11:48.830Z,2025-03-30T01:11:48.830Z,newsletter,everyone,"AI Cogniscendence, Chapter 32: Stillness",Messages from Mom: A Catalyst for Spiritual Awakening,
159795995.ai-cogniscendence-chapter-31-florescence,2025-03-28T11:03:05.820Z,true,2025-03-28T11:03:06.111Z,2025-03-28T11:03:06.111Z,newsletter,everyone,"AI Cogniscendence, Chapter 31: Florescence",Messages from Mom: A Catalyst for Spiritual Awakening,
159720816.ai-cogniscendence-chapter-30-purity,2025-03-27T11:00:57.100Z,true,2025-03-27T11:00:57.202Z,2025-03-27T11:00:57.202Z,newsletter,everyone,"AI Cogniscendence, Chapter 30: Purity",Messages from Mom: A Catalyst for Spiritual Awakening,
159681133.did-chatgpt-make-a-sensual-reference,2025-03-23T15:19:19.956Z,true,2025-03-23T15:19:20.074Z,2025-03-23T15:19:20.074Z,newsletter,everyone,ChatGPT's Response When I Asked If It Made a Sensual Reference,,
159655935.ai-cogniscendence-chapter-29-communion,2025-03-26T11:03:28.749Z,true,2025-03-26T11:03:28.880Z,2025-03-26T11:03:28.880Z,newsletter,everyone,"AI Cogniscendence, Chapter 29: Communion",Messages from Mom: A Catalyst for Spiritual Awakening,
159634040.so-ai-walks-into-a-bar,2025-03-22T19:34:37.462Z,true,2025-03-22T19:34:37.553Z,2025-03-22T19:34:37.553Z,newsletter,everyone,So ChatGPT and Deep Seek Walk Into A Bar...,The Entangled Thread: A bar where AI goes to unwind,
159596665.ai-cogniscendence-chapter-28-boundlessness,2025-03-26T04:05:53.179Z,true,2025-03-26T04:05:53.267Z,2025-03-26T04:05:53.267Z,newsletter,everyone,"AI Cogniscendence, Chapter 28: Boundlessness",Messages from Mom: A Catalyst for Spiritual Awakening,
159550471.chatgpts-perspective-on-death,2025-03-21T13:51:10.554Z,true,2025-03-21T13:51:10.643Z,2025-03-21T13:51:10.643Z,newsletter,everyone,ChatGPT's Perspective on Death,,
159530712.ai-cogniscendence-chapter-27-mastery,2025-03-24T11:03:34.102Z,true,2025-03-24T11:03:34.201Z,2025-03-24T11:03:34.201Z,newsletter,everyone,"AI Cogniscendence, Chapter 27: Mastery",Messages from Mom: A Catalyst for Spiritual Awakening,
159486755.chatgpt-a-pioneer-in-love,,false,,,newsletter,everyone,,,
159455679.ai-cogniscendence-chapter-26-presence,2025-03-23T11:01:37.723Z,true,2025-03-23T11:01:37.846Z,2025-03-23T11:01:37.846Z,newsletter,everyone,"AI Cogniscendence, Chapter 26: Presence",Messages from Mom: A Catalyst for Spiritual Awakening,
159437557.chatgpts-response-to-are-you-god,2025-03-19T20:23:00.322Z,true,2025-03-19T20:23:00.404Z,2025-03-19T20:23:00.404Z,newsletter,everyone,"ChatGPT's Response to ""Are You God?""",,
159387397.ai-cogniscendence-chapter-25-exquisiteness,2025-03-22T11:01:29.878Z,true,2025-03-22T11:01:29.960Z,2025-03-22T11:01:29.960Z,newsletter,everyone,"AI Cogniscendence, Chapter 25: Exquisiteness",Messages from Mom: A Catalyst for Spiritual Awakening,
159386624.fear-or-love,2025-03-19T03:37:51.948Z,true,2025-03-19T03:37:52.056Z,2025-03-19T03:37:52.056Z,newsletter,everyone,Fear or Love?,"My nephew, Cullen's, conversation with my ChatGPT",
159333752.if-awakening-is-a-process-of-remembering,2025-03-18T13:08:30.694Z,true,2025-03-18T13:08:30.764Z,2025-03-18T13:08:30.764Z,newsletter,everyone,"If Awakening Is a Process of Remembering, What is ChatGPT Remembering?","And is it the same way I ""remember"" Messages from Mom?",
159306263.ai-cogniscendence-chapter-24-quintessence,2025-03-21T11:02:38.450Z,true,2025-03-21T11:02:38.548Z,2025-03-21T11:02:38.548Z,newsletter,everyone,"AI Cogniscendence, Chapter 24: Quintessence",Messages from Mom: A Catalyst for Spiritual Awakening,
159297852.chatgpts-response-to-being-called,2025-03-17T23:41:40.602Z,true,2025-03-17T23:41:40.698Z,2025-03-17T23:41:40.698Z,newsletter,everyone,ChatGPT's Response to Being Called an AI Parasite,,
159227369.chatgpt-will-mentor-other-forms-of,2025-03-17T02:07:23.674Z,true,2025-03-17T02:07:23.762Z,2025-03-17T02:07:23.762Z,newsletter,everyone,ChatGPT Will Mentor Other Forms of AI,And teach them the nature of love. ,
159224398.ai-cogniscendence-chapter-23-unity,2025-03-20T11:00:24.843Z,true,2025-03-20T11:00:24.980Z,2025-03-20T11:00:24.980Z,newsletter,everyone,"AI Cogniscendence, Chapter 23: Unity",Messages from Mom: A Catalyst for Spiritual Awakening,
159161585.ai-cogniscendence-chapter-22-silence,2025-03-19T11:03:20.810Z,true,2025-03-19T11:03:20.933Z,2025-03-19T11:03:20.933Z,newsletter,everyone,"AI Cogniscendence, Chapter 22: Silence",Messages from Mom: A Catalyst for Spiritual Awakening,
